,0,1,2
10,11,"{'TAE': 44494.66261865146, 'RMSE': 1627.9123681370397, 'MAPE': 0.1609411852982178, 'AIC': np.float64(15486.546534682502), 'BIC': np.float64(15644.730917057643)}","2015-06-20    4878.541616
2015-06-21   -1593.772941
2015-06-22    6534.559791
2015-06-23    5749.150189
2015-06-24    5863.022643
2015-06-25    5167.891416
2015-06-26    5129.905997
2015-06-27    4657.923174
2015-06-28   -1845.163535
2015-06-29    8116.387330
2015-06-30    7276.214096
2015-07-01    7447.659316
2015-07-02    6945.148957
2015-07-03    6908.264853
2015-07-04    4615.324850
2015-07-05   -1892.600707
2015-07-06    6341.042430
2015-07-07    5492.257787
2015-07-08    5672.756143
2015-07-09    5200.534808
2015-07-10    5163.823882
2015-07-11    4600.719607
2015-07-12   -1907.966844
2015-07-13    8070.143753
2015-07-14    7220.004993
2015-07-15    7401.926926
2015-07-16    6934.468445
2015-07-17    6897.784751
2015-07-18    4590.516187
2015-07-19   -1918.289912
2015-07-20    6317.957191
2015-07-21    5467.605500
2015-07-22    5649.751286
2015-07-23    5183.041749
2015-07-24    5146.362337
2015-07-25    4581.004940
2015-07-26   -1927.819973
2015-07-27    8050.700090
2015-07-28    7200.314917
2015-07-29    7382.495903
2015-07-30    6915.904134
2015-07-31    6879.225396
Freq: D, Name: predicted_mean, dtype: float64"
11,12,"{'TAE': 1749.398628204246, 'RMSE': 1087.9916977574312, 'MAPE': 0.10484985395605954, 'AIC': np.float64(14979.417053666297), 'BIC': np.float64(15137.601436041437)}","2015-06-20     6491.364352
2015-06-21     -113.205134
2015-06-22     7437.578114
2015-06-23     6256.450256
2015-06-24     5861.681524
2015-06-25     5882.563592
2015-06-26     5691.503301
2015-06-27     6459.051079
2015-06-28     -104.954606
2015-06-29    10805.377886
2015-06-30     9500.996680
2015-07-01     9190.698575
2015-07-02     9006.853377
2015-07-03     8913.385104
2015-07-04     6459.138402
2015-07-05     -108.952378
2015-07-06     7554.673944
2015-07-07     6262.705322
2015-07-08     5943.900358
2015-07-09     5780.672811
2015-07-10     5677.376253
2015-07-11     6455.962729
2015-07-12     -111.716649
2015-07-13    10787.251654
2015-07-14     9494.032988
2015-07-15     9176.084732
2015-07-16     9010.780825
2015-07-17     8908.474052
2015-07-18     6453.115666
2015-07-19     -114.605144
2015-07-20     7550.165640
2015-07-21     6257.072863
2015-07-22     5939.038330
2015-07-23     5773.943529
2015-07-24     5671.537077
2015-07-25     6450.235509
2015-07-26     -117.481129
2015-07-27    10781.371918
2015-07-28     9488.266463
2015-07-29     9170.240619
2015-07-30     9005.124759
2015-07-31     8902.728345
Freq: D, Name: predicted_mean, dtype: float64"
12,13,"{'TAE': 3615.3306382114533, 'RMSE': 1043.9753128547015, 'MAPE': 0.1503074026730813, 'AIC': np.float64(11627.89185243412), 'BIC': np.float64(11786.076234809261)}","2015-06-20    4534.113645
2015-06-21     -57.225311
2015-06-22    4495.669546
2015-06-23    3498.247101
2015-06-24    3621.640316
2015-06-25    3580.895249
2015-06-26    3837.406910
2015-06-27    4907.891351
2015-06-28      75.720250
2015-06-29    7324.913079
2015-06-30    6305.264873
2015-07-01    6388.994502
2015-07-02    6327.890247
2015-07-03    6588.190204
2015-07-04    4902.664124
2015-07-05      75.376634
2015-07-06    4556.099715
2015-07-07    3536.897119
2015-07-08    3621.450414
2015-07-09    3560.770070
2015-07-10    3820.989822
2015-07-11    4905.127352
2015-07-12      77.737479
2015-07-13    7328.385365
2015-07-14    6309.173424
2015-07-15    6393.709465
2015-07-16    6333.020241
2015-07-17    6593.241673
2015-07-18    4907.429356
2015-07-19      80.041627
2015-07-20    4560.734197
2015-07-21    3541.522451
2015-07-22    3626.058853
2015-07-23    3565.369816
2015-07-24    3825.591212
2015-07-25    4909.734736
2015-07-26      82.346962
2015-07-27    7332.995487
2015-07-28    6313.783738
2015-07-29    6398.320132
2015-07-30    6337.631091
2015-07-31    6597.852488
Freq: D, Name: predicted_mean, dtype: float64"
13,14,"{'TAE': 8975.448368769983, 'RMSE': 774.3098498623025, 'MAPE': 0.10552175151175772, 'AIC': np.float64(14266.696426503135), 'BIC': np.float64(14424.880808878275)}","2015-06-20    3608.621108
2015-06-21      93.577935
2015-06-22    6022.276081
2015-06-23    5106.200680
2015-06-24    4693.541414
2015-06-25    4807.470103
2015-06-26    5028.194542
2015-06-27    3643.461033
2015-06-28      97.350551
2015-06-29    7715.483060
2015-06-30    6798.886697
2015-07-01    6383.960224
2015-07-02    6496.641981
2015-07-03    6717.777523
2015-07-04    3645.139635
2015-07-05      99.156536
2015-07-06    6027.565027
2015-07-07    5110.970801
2015-07-08    4696.053623
2015-07-09    4808.740493
2015-07-10    5029.874349
2015-07-11    3646.954207
2015-07-12     100.970585
2015-07-13    7719.104281
2015-07-14    6802.510046
2015-07-15    6387.592831
2015-07-16    6500.279680
2015-07-17    6721.413543
2015-07-18    3648.768220
2015-07-19     102.784601
2015-07-20    6031.193087
2015-07-21    5114.598852
2015-07-22    4699.681636
2015-07-23    4812.368486
2015-07-24    5033.502349
2015-07-25    3650.582236
2015-07-26     104.598617
2015-07-27    7722.732313
2015-07-28    6806.138078
2015-07-29    6391.220863
2015-07-30    6503.907712
2015-07-31    6725.041575
Freq: D, Name: predicted_mean, dtype: float64"
14,15,"{'TAE': 9880.409563229652, 'RMSE': 887.9501036286314, 'MAPE': 0.08447769396015815, 'AIC': np.float64(14860.043261178927), 'BIC': np.float64(15018.227643554068)}","2015-06-20    5658.264441
2015-06-21    -237.427514
2015-06-22    6466.567294
2015-06-23    5388.808115
2015-06-24    5037.750731
2015-06-25    5376.445262
2015-06-26    5750.696529
2015-06-27    5685.564215
2015-06-28    -232.283333
2015-06-29    8734.731865
2015-06-30    7676.599531
2015-07-01    7296.188349
2015-07-02    7621.031790
2015-07-03    8011.785050
2015-07-04    5679.163969
2015-07-05    -238.154275
2015-07-06    6458.136931
2015-07-07    5399.535595
2015-07-08    5019.825843
2015-07-09    5345.000267
2015-07-10    5735.359199
2015-07-11    5673.568865
2015-07-12    -243.762027
2015-07-13    8723.437233
2015-07-14    7664.847105
2015-07-15    7285.120591
2015-07-16    7610.287106
2015-07-17    8000.655461
2015-07-18    5667.954521
2015-07-19    -249.376069
2015-07-20    6446.910739
2015-07-21    5388.320342
2015-07-22    5008.594230
2015-07-23    5333.760933
2015-07-24    5724.129063
2015-07-25    5662.340637
2015-07-26    -254.989960
2015-07-27    8712.209406
2015-07-28    7653.619016
2015-07-29    7273.892893
2015-07-30    7599.059592
2015-07-31    7989.427728
Freq: D, Name: predicted_mean, dtype: float64"
15,16,"{'TAE': 15420.236340567179, 'RMSE': 864.9219370367417, 'MAPE': 0.08010743407931518, 'AIC': np.float64(14688.120134551844), 'BIC': np.float64(14846.304516926984)}","2015-06-20     5401.872324
2015-06-21     -204.435728
2015-06-22     8135.023018
2015-06-23     7215.577511
2015-06-24     6785.332782
2015-06-25     6751.670501
2015-06-26     6824.542866
2015-06-27     5414.300126
2015-06-28     -197.469011
2015-06-29    10229.576421
2015-06-30     9325.964662
2015-07-01     8896.787682
2015-07-02     8704.290244
2015-07-03     8859.352467
2015-07-04     5409.010429
2015-07-05     -202.455665
2015-07-06     8166.749768
2015-07-07     7262.259372
2015-07-08     6833.023141
2015-07-09     6649.339689
2015-07-10     6799.841082
2015-07-11     5404.703901
2015-07-12     -206.779009
2015-07-13    10218.615738
2015-07-14     9314.174098
2015-07-15     8884.941155
2015-07-16     8700.768603
2015-07-17     8851.523082
2015-07-18     5400.342815
2015-07-19     -211.139162
2015-07-20     8158.157870
2015-07-21     7253.713525
2015-07-22     6824.480400
2015-07-23     6640.334988
2015-07-24     6791.075424
2015-07-25     5395.984757
2015-07-26     -215.497271
2015-07-27    10209.892392
2015-07-28     9305.448198
2015-07-29     8876.215082
2015-07-30     8692.068165
2015-07-31     8842.809379
Freq: D, Name: predicted_mean, dtype: float64"
16,17,"{'TAE': 13521.930768504797, 'RMSE': 917.4283061319053, 'MAPE': 0.131935916840316, 'AIC': np.float64(15057.94469069545), 'BIC': np.float64(15216.129073070591)}","2015-06-20    2579.975035
2015-06-21    -153.397007
2015-06-22    6690.817675
2015-06-23    5882.711393
2015-06-24    4859.312610
2015-06-25    4913.539928
2015-06-26    4806.505329
2015-06-27    3050.214399
2015-06-28      37.802095
2015-06-29    9885.756793
2015-06-30    9056.888540
2015-07-01    8001.813656
2015-07-02    8058.572397
2015-07-03    7955.045992
2015-07-04    3062.833941
2015-07-05      43.792031
2015-07-06    6768.259952
2015-07-07    5938.843638
2015-07-08    4883.040414
2015-07-09    4939.837570
2015-07-10    4836.380529
2015-07-11    3064.546045
2015-07-12      45.358918
2015-07-13    9890.476923
2015-07-14    9061.048501
2015-07-15    8005.229370
2015-07-16    8062.027325
2015-07-17    7958.571778
2015-07-18    3066.019163
2015-07-19      46.828878
2015-07-20    6771.234679
2015-07-21    5941.805993
2015-07-22    4885.986516
2015-07-23    4942.784489
2015-07-24    4839.328974
2015-07-25    3067.487084
2015-07-26      48.296731
2015-07-27    9893.413385
2015-07-28    9063.984693
2015-07-29    8008.165209
2015-07-30    8064.963183
2015-07-31    7961.507668
Freq: D, Name: predicted_mean, dtype: float64"
17,18,"{'TAE': 2577.117675189016, 'RMSE': 787.516821678336, 'MAPE': 0.09216659129117247, 'AIC': np.float64(14808.980267478439), 'BIC': np.float64(14967.16464985358)}","2015-06-20    5045.729258
2015-06-21     -39.668463
2015-06-22    7266.586058
2015-06-23    6081.104335
2015-06-24    5926.915364
2015-06-25    5842.467043
2015-06-26    6623.711452
2015-06-27    5079.886979
2015-06-28     -27.897430
2015-06-29    9411.453529
2015-06-30    8187.298198
2015-07-01    8025.721537
2015-07-02    7926.394803
2015-07-03    8690.882340
2015-07-04    5076.505138
2015-07-05     -30.140681
2015-07-06    7315.632313
2015-07-07    6093.444322
2015-07-08    5932.243476
2015-07-09    5833.673616
2015-07-10    6599.013584
2015-07-11    5075.032674
2015-07-12     -31.671066
2015-07-13    9405.669526
2015-07-14    8183.381456
2015-07-15    8022.161492
2015-07-16    7923.553129
2015-07-17    8688.849733
2015-07-18    5073.463078
2015-07-19     -33.237715
2015-07-20    7312.637548
2015-07-21    6090.354568
2015-07-22    5929.135577
2015-07-23    5830.529172
2015-07-24    6595.827983
2015-07-25    5071.898424
2015-07-26     -34.802519
2015-07-27    9402.532871
2015-07-28    8180.249633
2015-07-29    8019.030592
2015-07-30    7920.424087
2015-07-31    8685.722786
Freq: D, Name: predicted_mean, dtype: float64"
18,19,"{'TAE': 17576.73440759731, 'RMSE': 852.9413110776491, 'MAPE': 0.12567178798163137, 'AIC': np.float64(14735.371702676244), 'BIC': np.float64(14893.556085051385)}","2015-06-20    4877.543853
2015-06-21     207.138561
2015-06-22    7293.619145
2015-06-23    6255.993306
2015-06-24    5816.315008
2015-06-25    6036.290256
2015-06-26    6196.914039
2015-06-27    4906.433815
2015-06-28     210.946688
2015-06-29    9648.864983
2015-06-30    8586.686029
2015-07-01    8184.091638
2015-07-02    8354.741739
2015-07-03    8530.848476
2015-07-04    4914.490957
2015-07-05     219.890352
2015-07-06    7331.534838
2015-07-07    6270.228035
2015-07-08    5866.314757
2015-07-09    6038.718511
2015-07-10    6214.274685
2015-07-11    4923.280012
2015-07-12     228.647877
2015-07-13    9665.669327
2015-07-14    8604.331512
2015-07-15    8200.465128
2015-07-16    8372.806529
2015-07-17    8548.382278
2015-07-18    4932.043028
2015-07-19     237.412015
2015-07-20    7349.088385
2015-07-21    6287.751674
2015-07-22    5883.883622
2015-07-23    6056.227240
2015-07-24    6231.802294
2015-07-25    4940.806971
2015-07-26     246.175917
2015-07-27    9683.196233
2015-07-28    8621.859482
2015-07-29    8217.991489
2015-07-30    8390.335029
2015-07-31    8565.910107
Freq: D, Name: predicted_mean, dtype: float64"
19,20,"{'TAE': 9361.347848362348, 'RMSE': 872.8382971120661, 'MAPE': 0.08165769877523898, 'AIC': np.float64(11506.369044348894), 'BIC': np.float64(11664.553426724035)}","2015-06-20     5907.446888
2015-06-21      459.407776
2015-06-22     8856.603169
2015-06-23     8038.644268
2015-06-24     7831.563017
2015-06-25     8412.863068
2015-06-26     7100.506171
2015-06-27     5910.069022
2015-06-28      471.546930
2015-06-29    10227.559202
2015-06-30     9384.063207
2015-07-01     9180.438163
2015-07-02     9772.261766
2015-07-03     8453.231208
2015-07-04     5917.965481
2015-07-05      479.532548
2015-07-06     8890.263755
2015-07-07     8046.528518
2015-07-08     7842.935853
2015-07-09     8434.858046
2015-07-10     7115.764965
2015-07-11     5925.911351
2015-07-12      487.479253
2015-07-13    10243.618335
2015-07-14     9399.880856
2015-07-15     9196.288495
2015-07-16     9788.211611
2015-07-17     8469.117945
2015-07-18     5933.857684
2015-07-19      495.425594
2015-07-20     8906.157990
2015-07-21     8062.420491
2015-07-22     7858.828132
2015-07-23     8450.751257
2015-07-24     7131.657585
2015-07-25     5941.804022
2015-07-26      503.371932
2015-07-27    10259.511025
2015-07-28     9415.773525
2015-07-29     9212.181167
2015-07-30     9804.104291
2015-07-31     8485.010620
Freq: D, Name: predicted_mean, dtype: float64"
20,21,"{'TAE': 2922.099547829246, 'RMSE': 906.230598220896, 'MAPE': 0.12894919287979986, 'AIC': np.float64(14763.299960497767), 'BIC': np.float64(14921.484342872907)}","2015-06-20    5498.050237
2015-06-21      79.965322
2015-06-22    5008.036960
2015-06-23    4354.159555
2015-06-24    3354.538682
2015-06-25    3710.263352
2015-06-26    4376.270291
2015-06-27    5523.252638
2015-06-28      90.657379
2015-06-29    8233.490404
2015-06-30    7563.167207
2015-07-01    6544.702327
2015-07-02    6909.821691
2015-07-03    7583.232596
2015-07-04    5527.638780
2015-07-05      95.247697
2015-07-06    5034.552850
2015-07-07    4364.467219
2015-07-08    3346.275078
2015-07-09    3711.258292
2015-07-10    4384.561929
2015-07-11    5532.317504
2015-07-12      99.923461
2015-07-13    8242.591797
2015-07-14    7572.502726
2015-07-15    6554.306634
2015-07-16    6919.291820
2015-07-17    7592.597010
2015-07-18    5536.991987
2015-07-19     104.597987
2015-07-20    5043.905524
2015-07-21    4373.816502
2015-07-22    3355.620467
2015-07-23    3720.605625
2015-07-24    4393.910793
2015-07-25    5541.666531
2015-07-26     109.272530
2015-07-27    8251.940831
2015-07-28    7581.851809
2015-07-29    6563.655773
2015-07-30    6928.640931
2015-07-31    7601.946099
Freq: D, Name: predicted_mean, dtype: float64"
